path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/spanien/solformoerkelse-i-spanien-valencia,spanien,trip,D empty (Afgange ikke tilgængelige),1,0,1,0,0,,1642,1,62,169
/balkan/betagende-syd-balkan,balkan,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3617,1,61,154
/cypern/charmerende-cypern-kultur-og-livsnydelse,cypern,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,1814,1,58,168
/norge/haverejse-til-stavanger,norge,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2008,1,53,168
/portugal/essensen-af-madeira,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3166,1,62,173
/jordan/vandreferie-i-jordan,jordan,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3338,1,55,173
/portugal/mageloese_madeira_med_blomsterfestivalen,portugal,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2918,1,63,193
/italien/napoli-og-amalfikysten-storbyens-puls-og-kystens-hoejdepunkter,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3067,1,62,130
/balkan/betagende-nord-balkan,balkan,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2887,1,61,178
/graekenland/nordgraekenland-mellem-himmel-og-hav,graekenland,trip,A bookable online,1,1,1,1,1,13995,2503,1,61,153
/portugal/vandreferie-paa-madeira,portugal,trip,A bookable online,1,1,1,10,1,12995,4526,1,58,144
/portugal/vandreferie-paa-algarvekysten,portugal,trip,A bookable online,1,1,1,2,1,13995,3995,1,61,178
/faeroeerne/fabelagtige-faeroerne,faeroeerne,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3254,1,63,185
/italien/cilento-det-hemmelige-syditalienske-paradis,italien,trip,A bookable online,1,1,1,2,1,12995,2337,1,60,180
/italien/vidunderlige-amalfi,italien,trip,A bookable online,1,1,1,22,1,10995,5354,1,68,182
/italien/kulinariske-vandringer-paa-amalfikysten,italien,trip,A bookable online,1,1,1,5,1,8995,4080,1,60,175
/england/vandreferie-i-lake-district,england,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3764,1,64,161
/flodkrydstogter/flodkrydstogt-paa-douro-floden,flodkrydstogter,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3234,1,66,173
/italien/et-syditaliensk-eventyr,italien,trip,A bookable online,1,1,1,8,1,13995,2910,1,63,148
